Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
MPI,call,100,110,0.02,0.75,1,5000000,0,10,0.228480412,0.070734298,26.59340402,-0.01880499303
MPI,call,100,110,0.02,0.75,1,5000000,0,25,0.241526417,0.032256302,26.59927439,-0.01293461536
MPI,call,100,110,0.02,0.75,1,5000000,0,50,0.4624889,0.037874104,26.67275718,0.0605481701
MPI,call,100,110,0.02,0.75,1,5000000,0,100,0.845756866,0.027572782,26.56778174,-0.04442726725
MPI,call,100,110,0.02,0.75,1,7500000,0,1,0.800583371,0.68245674,26.60246462,-0.009744391616
MPI,call,100,110,0.02,0.75,1,7500000,0,5,0.297985881,0.159230287,26.59350619,-0.0187028168
MPI,call,100,110,0.02,0.75,1,7500000,0,10,0.235000714,0.079594787,26.59266391,-0.01954510194
MPI,call,100,110,0.02,0.75,1,7500000,0,25,0.252967549,0.040132341,26.57488459,-0.03732442015
MPI,call,100,110,0.02,0.75,1,7500000,0,50,0.467716772,0.05323172,26.62948793,0.01727892034
MPI,call,100,110,0.02,0.75,1,7500000,0,100,0.915519955,0.052892347,26.57298344,-0.03922557479
MPI,call,100,110,0.02,0.75,1,10000000,0,1,1.007218106,0.886376799,26.60535958,-0.0068494294
MPI,call,100,110,0.02,0.75,1,10000000,0,5,0.335060038,0.190074455,26.61681092,0.004601913697
MPI,call,100,110,0.02,0.75,1,10000000,0,10,0.29056254,0.131949327,26.64308473,0.03087571962
MPI,call,100,110,0.02,0.75,1,10000000,0,25,0.271885146,0.053735189,26.64128778,0.02907876697
MPI,call,100,110,0.02,0.75,1,10000000,0,50,0.453284174,0.066944075,26.65803555,0.04582653534
MPI,call,100,110,0.02,0.75,1,10000000,0,100,0.934743109,0.05122461,26.63894051,0.02673150171
MPI,call,100,110,0.02,0.75,1,25000000,0,1,2.375607671,2.253519685,26.59500385,-0.01720515843
MPI,call,100,110,0.02,0.75,1,25000000,0,5,0.626861146,0.477326023,26.60619129,-0.006017715763
MPI,call,100,110,0.02,0.75,1,25000000,0,10,0.410483759,0.255966181,26.62613008,0.01392106861
MPI,call,100,110,0.02,0.75,1,25000000,0,25,0.361605095,0.132251992,26.59337772,-0.01883129384
MPI,call,100,110,0.02,0.75,1,25000000,0,50,0.595166774,0.172264334,26.60560229,-0.006606717302
MPI,call,100,110,0.02,0.75,1,25000000,0,100,1.094191184,0.16281585,26.62413618,0.01192716904
MPI,call,100,110,0.02,0.75,1,50000000,0,1,4.672777554,4.553573561,26.58718735,-0.02502165866
MPI,call,100,110,0.02,0.75,1,50000000,0,5,1.12275212,0.980519803,26.62443559,0.01222657973
MPI,call,100,110,0.02,0.75,1,50000000,0,10,0.718455502,0.56286674,26.60816493,-0.004044076296
MPI,call,100,110,0.02,0.75,1,50000000,0,25,0.471481217,0.263919309,26.61275735,0.0005483364603
MPI,call,100,110,0.02,0.75,1,50000000,0,50,0.689188757,0.286365164,26.62622036,0.01401134571
MPI,call,100,110,0.02,0.75,1,50000000,0,100,1.141914602,0.237429563,26.60293867,-0.009270341417
