Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
MPI,call,100,100,0.1,0.2,1,25000000,0,100,4.017572619,3.178581109,11.96595477,0.06595477129
MPI,call,100,100,0.1,0.2,1,25000000,0,125,4.313384166,3.154662905,11.94020005,0.04020004818
MPI,call,100,100,0.1,0.2,1,50000000,0,1,122.9524346,122.8329325,11.92100167,0.02100166634
MPI,call,100,100,0.1,0.2,1,50000000,0,5,25.51680622,25.37666298,11.91667794,0.01667794206
MPI,call,100,100,0.1,0.2,1,50000000,0,10,12.96355066,12.80564066,11.92658062,0.02658061791
MPI,call,100,100,0.1,0.2,1,50000000,0,25,7.3537765,7.135230914,11.91777432,0.01777431844
MPI,call,100,100,0.1,0.2,1,50000000,0,32,5.996620993,5.753513253,11.92043234,0.02043233585
MPI,call,100,100,0.1,0.2,1,50000000,0,50,6.679142965,6.24063179,11.92726771,0.02726770676
MPI,call,100,100,0.1,0.2,1,50000000,0,64,6.395853091,5.870762007,11.94675337,0.0467533745
MPI,call,100,100,0.1,0.2,1,50000000,0,100,6.407063812,5.499380404,11.9192239,0.01922389515
MPI,call,100,100,0.1,0.2,1,50000000,0,125,6.183694579,4.995406276,11.91085927,0.01085927473
MPI,call,100,100,0.1,0.2,1,75000000,0,1,185.3597403,185.2442185,11.9212355,0.02123550392
MPI,call,100,100,0.1,0.2,1,75000000,0,5,37.94545853,37.8080504,11.92299454,0.02299454102
MPI,call,100,100,0.1,0.2,1,75000000,0,10,19.30490214,19.13883485,11.92434434,0.02434434396
MPI,call,100,100,0.1,0.2,1,75000000,0,25,8.245194781,7.994488141,11.91329844,0.01329844197
MPI,call,100,100,0.1,0.2,1,75000000,0,32,8.773168554,8.501887217,11.94487868,0.04487868271
MPI,call,100,100,0.1,0.2,1,75000000,0,50,7.866327965,7.43837944,11.93305793,0.03305793067
MPI,call,100,100,0.1,0.2,1,75000000,0,64,8.299868312,7.783937649,11.90726763,0.007267626052
MPI,call,100,100,0.1,0.2,1,75000000,0,100,8.783924849,7.951544653,11.91836143,0.01836142881
MPI,call,100,100,0.1,0.2,1,75000000,0,125,8.489448649,7.329156726,11.91582273,0.01582272952
MPI,call,100,100,0.1,0.2,1,100000000,0,1,246.4742448,246.3537662,11.91964375,0.01964375256
MPI,call,100,100,0.1,0.2,1,100000000,0,5,50.2567965,50.1128029,11.92357997,0.02357996892
MPI,call,100,100,0.1,0.2,1,100000000,0,10,25.53052097,25.36726973,11.92471143,0.02471142603
MPI,call,100,100,0.1,0.2,1,100000000,0,25,10.79157662,10.55058731,11.92403048,0.02403047796
MPI,call,100,100,0.1,0.2,1,100000000,0,32,10.58019021,10.29540244,11.91479056,0.01479056218
MPI,call,100,100,0.1,0.2,1,100000000,0,50,11.1355067,10.68043165,11.92797201,0.02797201431
MPI,call,100,100,0.1,0.2,1,100000000,0,64,10.13670145,9.59590485,11.92253381,0.02253381107
MPI,call,100,100,0.1,0.2,1,100000000,0,100,11.28153545,10.35026732,11.94106944,0.04106943679
MPI,call,100,100,0.1,0.2,1,100000000,0,125,10.14127917,8.977845003,11.93136216,0.03136215689
Hybrid,call,100,100,0.1,0.2,1,1000000,0,1001,2.611055648,2.487431538,11.93222148,0.03222148059
Hybrid,call,100,100,0.1,0.2,1,1000000,0,10010,0.504598723,0.33915663,11.9376056,0.03760560406
Hybrid,call,100,100,0.1,0.2,1,1000000,0,25025,0.476418894,0.24225959,11.93430741,0.03430740875
Hybrid,call,100,100,0.1,0.2,1,1000000,0,50050,0.666142927,0.20634533,11.85755441,-0.04244558862
Hybrid,call,100,100,0.1,0.2,1,2000000,0,1001,5.136164947,5.013236589,11.916935,0.01693500375
Hybrid,call,100,100,0.1,0.2,1,2000000,0,10010,0.761817889,0.59301304,11.86041697,-0.03958303176
Hybrid,call,100,100,0.1,0.2,1,2000000,0,25025,0.735677732,0.506215563,11.92466602,0.02466601643
Hybrid,call,100,100,0.1,0.2,1,2000000,0,50050,0.873957697,0.442531502,11.98360104,0.08360104456
Hybrid,call,100,100,0.1,0.2,1,5000000,0,1001,12.69074453,12.567472,11.90825936,0.008259362467
