Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
OMP,call,100,90,0.02,0.75,1,8192,1000,16,0.219445969,0.219431917,22.54838026,0.66838026
OMP,call,100,90,0.02,0.75,1,8192,1000,32,0.241132395,0.241108628,22.54880337,0.6688033714
OMP,call,100,90,0.02,0.75,1,8192,1000,64,0.218695765,0.218675743,22.54822531,0.6682253076
OMP,call,100,90,0.02,0.75,1,16384,50,1,0.157925377,0.157903928,21.35768641,-0.5223135933
OMP,call,100,90,0.02,0.75,1,16384,50,2,0.084978426,0.084964886,21.472082,-0.4079179956
OMP,call,100,90,0.02,0.75,1,16384,50,4,0.054767803,0.054755686,21.36039133,-0.5196086657
OMP,call,100,90,0.02,0.75,1,16384,50,8,0.028482562,0.028470604,21.54547,-0.3345300002
OMP,call,100,90,0.02,0.75,1,16384,50,16,0.022755906,0.022726326,21.03085595,-0.8491440486
OMP,call,100,90,0.02,0.75,1,16384,50,32,0.023469254,0.023454319,20.98265819,-0.8973418149
OMP,call,100,90,0.02,0.75,1,16384,50,64,0.01882873,0.01881581,20.98678195,-0.8932180493
OMP,call,100,90,0.02,0.75,1,16384,100,1,0.305483961,0.305472443,21.47610116,-0.4038988396
OMP,call,100,90,0.02,0.75,1,16384,100,2,0.158838805,0.158828351,21.50041598,-0.3795840218
OMP,call,100,90,0.02,0.75,1,16384,100,4,0.103547677,0.10353212,21.94010407,0.06010407091
OMP,call,100,90,0.02,0.75,1,16384,100,8,0.053998237,0.053975694,21.91682177,0.03682176627
OMP,call,100,90,0.02,0.75,1,16384,100,16,0.031426559,0.031412145,21.8314493,-0.0485507039
OMP,call,100,90,0.02,0.75,1,16384,100,32,0.038178439,0.03816212,21.83048248,-0.04951752082
OMP,call,100,90,0.02,0.75,1,16384,100,64,0.031545138,0.031539027,21.83026922,-0.0497307791
OMP,call,100,90,0.02,0.75,1,16384,250,1,0.794238018,0.794227324,21.61924742,-0.2607525838
OMP,call,100,90,0.02,0.75,1,16384,250,2,0.399980544,0.399965082,21.83186497,-0.04813503236
OMP,call,100,90,0.02,0.75,1,16384,250,4,0.206408307,0.206390319,22.16064058,0.2806405803
OMP,call,100,90,0.02,0.75,1,16384,250,8,0.130138432,0.130111953,22.40915398,0.5291539819
OMP,call,100,90,0.02,0.75,1,16384,250,16,0.070181343,0.070160728,22.68181066,0.8018106555
OMP,call,100,90,0.02,0.75,1,16384,250,32,0.071617256,0.071610241,22.71760865,0.8376086536
OMP,call,100,90,0.02,0.75,1,16384,250,64,0.074191247,0.07417618,22.71484754,0.83484754
OMP,call,100,90,0.02,0.75,1,16384,500,1,1.530206748,1.530195664,21.61092916,-0.2690708379
OMP,call,100,90,0.02,0.75,1,16384,500,2,0.773868462,0.773855946,21.8331145,-0.04688549836
OMP,call,100,90,0.02,0.75,1,16384,500,4,0.415672263,0.415659883,21.14951357,-0.7304864297
OMP,call,100,90,0.02,0.75,1,16384,500,8,0.222646524,0.222635395,22.33353616,0.4535361587
OMP,call,100,90,0.02,0.75,1,16384,500,16,0.148399406,0.14838657,22.14135364,0.261353638
OMP,call,100,90,0.02,0.75,1,16384,500,32,0.136264973,0.136246599,22.19903254,0.3190325448
OMP,call,100,90,0.02,0.75,1,16384,500,64,0.119543517,0.119527754,22.19911228,0.3191122788
OMP,call,100,90,0.02,0.75,1,16384,750,1,2.330037701,2.33002629,21.68669356,-0.1933064397
OMP,call,100,90,0.02,0.75,1,16384,750,2,1.1746053,1.174592471,21.73804805,-0.1419519519
OMP,call,100,90,0.02,0.75,1,16384,750,4,0.625336853,0.62531294,21.82216458,-0.05783541973
OMP,call,100,90,0.02,0.75,1,16384,750,8,0.339249177,0.339237475,20.67263257,-1.207367429
OMP,call,100,90,0.02,0.75,1,16384,750,16,0.196025884,0.196010197,20.69285586,-1.187144138
OMP,call,100,90,0.02,0.75,1,16384,750,32,0.198256025,0.198232236,21.2114153,-0.6685847
OMP,call,100,90,0.02,0.75,1,16384,750,64,0.183328512,0.18331736,21.21058354,-0.6694164602
OMP,call,100,90,0.02,0.75,1,16384,1000,1,3.030783801,3.030768794,22.26106437,0.381064369
OMP,call,100,90,0.02,0.75,1,16384,1000,2,1.55433659,1.55431524,21.79381085,-0.08618915399
OMP,call,100,90,0.02,0.75,1,16384,1000,4,0.825566607,0.825548012,21.92404002,0.04404002177
OMP,call,100,90,0.02,0.75,1,16384,1000,8,0.449779993,0.449770349,22.53101144,0.6510114432
OMP,call,100,90,0.02,0.75,1,16384,1000,16,0.262606269,0.262583875,21.48895617,-0.3910438344
OMP,call,100,90,0.02,0.75,1,16384,1000,32,0.228991346,0.228969627,21.43327128,-0.4467287216
OMP,call,100,90,0.02,0.75,1,16384,1000,64,0.215825642,0.215812601,21.43429028,-0.4457097166
OMP,call,100,90,0.02,0.75,1,65536,50,1,0.640849109,0.640837523,21.5265807,-0.3534193005
OMP,call,100,90,0.02,0.75,1,65536,50,2,0.321237775,0.321217808,21.59887007,-0.2811299305
OMP,call,100,90,0.02,0.75,1,65536,50,4,0.160600598,0.160587931,21.36836151,-0.5116384905
OMP,call,100,90,0.02,0.75,1,65536,50,8,0.090027134,0.090013179,21.49133979,-0.3886602119
OMP,call,100,90,0.02,0.75,1,65536,50,16,0.049471766,0.049456238,22.06595175,0.1859517543
OMP,call,100,90,0.02,0.75,1,65536,50,32,0.036786474,0.03677566,21.88084615,0.0008461535525
OMP,call,100,90,0.02,0.75,1,65536,50,64,0.037298281,0.0372894,21.85144727,-0.02855272865
OMP,call,100,90,0.02,0.75,1,65536,100,1,1.240601578,1.24059223,21.73357442,-0.1464255835
