,Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
165,Hybrid,call,100,110,0.02,0.75,1,3200,0,1001,1,0.463711994,0.167354616,26.61535275,0.003107003782,0.003107003782
166,Hybrid,call,100,110,0.02,0.75,1,3200,0,2002,1,0.394003662,0.097856959,26.61535275,0.003107003782,0.003107003782
167,Hybrid,call,100,110,0.02,0.75,1,3200,0,4004,1,0.365418979,0.056186858,26.61535275,0.003107003782,0.003107003782
168,Hybrid,call,100,110,0.02,0.75,1,3200,0,6006,1,0.360643423,0.044402031,26.61535275,0.003107003782,0.003107003782
169,Hybrid,call,100,110,0.02,0.75,1,3200,0,8008,1,0.359409394,0.040094022,26.61535275,0.003107003782,0.003107003782
170,Hybrid,call,100,110,0.02,0.75,1,6400,0,1001,1,0.958967825,0.673501937,26.61230853,0.00006277959413,0.00006277959413
171,Hybrid,call,100,110,0.02,0.75,1,6400,0,2002,1,0.676226341,0.388267015,26.61230853,0.00006277959413,0.00006277959413
172,Hybrid,call,100,110,0.02,0.75,1,6400,0,4004,1,0.513981328,0.216627716,26.61230853,0.00006277959413,0.00006277959413
173,Hybrid,call,100,110,0.02,0.75,1,6400,0,6006,1,0.460726996,0.149754573,26.61230853,0.00006277959413,0.00006277959413
174,Hybrid,call,100,110,0.02,0.75,1,6400,0,8008,1,0.435440822,0.115473431,26.61230853,0.00006277959413,0.00006277959413
175,Hybrid,call,100,110,0.02,0.75,1,8000,0,1001,1,1.291384834,1.045836824,26.61330534,0.001059591391,0.001059591391
176,Hybrid,call,100,110,0.02,0.75,1,8000,0,2002,1,0.901329291,0.60413316,26.61330534,0.001059591391,0.001059591391
177,Hybrid,call,100,110,0.02,0.75,1,8000,0,4004,1,0.639378126,0.336543832,26.61330534,0.001059591391,0.001059591391
178,Hybrid,call,100,110,0.02,0.75,1,8000,0,6006,1,0.54805195,0.236840292,26.61330534,0.001059591391,0.001059591391
179,Hybrid,call,100,110,0.02,0.75,1,8000,0,8008,1,0.492495484,0.175498469,26.61330534,0.001059591391,0.001059591391
180,Hybrid,call,100,110,0.02,0.75,1,10000,0,1001,1,1.887531196,1.603330442,26.61316121,0.000915460068,0.000915460068
181,Hybrid,call,100,110,0.02,0.75,1,10000,0,2002,1,1.226462192,0.937595384,26.61316121,0.000915460068,0.000915460068
182,Hybrid,call,100,110,0.02,0.75,1,10000,0,4004,1,0.719077789,0.416847605,26.61316121,0.000915460068,0.000915460068
183,Hybrid,call,100,110,0.02,0.75,1,10000,0,6006,1,0.65741208,0.350515998,26.61316121,0.000915460068,0.000915460068
184,Hybrid,call,100,110,0.02,0.75,1,10000,0,8008,1,0.615090085,0.293632056,26.61316121,0.000915460068,0.000915460068
185,Hybrid,call,100,110,0.02,0.75,1,32000,0,1001,1,16.68597937,16.40869443,26.61253166,0.0002859128362,0.0002859128362
186,Hybrid,call,100,110,0.02,0.75,1,32000,0,2002,1,9.832627561,9.545629828,26.61253166,0.0002859128362,0.0002859128362
187,Hybrid,call,100,110,0.02,0.75,1,32000,0,4004,1,1.684154358,1.381116561,26.61253166,0.0002859128362,0.0002859128362
188,Hybrid,call,100,110,0.02,0.75,1,32000,0,6006,1,1.680913895,1.366801141,26.61253166,0.0002859128362,0.0002859128362
189,Hybrid,call,100,110,0.02,0.75,1,32000,0,8008,1,1.755477664,1.427693192,26.61253166,0.0002859128362,0.0002859128362
190,Hybrid,call,100,110,0.02,0.75,1,64000,0,1001,1,65.00102595,64.7185632,26.61223708,0.000008672583803,-0.000008672583803
191,Hybrid,call,100,110,0.02,0.75,1,64000,0,2002,1,38.41168771,38.11463628,26.61223708,0.000008672583807,-0.000008672583807
192,Hybrid,call,100,110,0.02,0.75,1,64000,0,4004,1,5.601660707,5.29315466,26.61223708,0.000008672583807,-0.000008672583807
193,Hybrid,call,100,110,0.02,0.75,1,64000,0,6006,1,3.096422841,2.782749901,26.61223708,0.000008672583803,-0.000008672583803
194,Hybrid,call,100,110,0.02,0.75,1,64000,0,8008,1,3.106086881,2.790316451,26.61223708,0.000008672583807,-0.000008672583807
195,Hybrid,call,100,110,0.02,0.75,1,80000,0,1001,1,101.7416067,101.5062622,26.61220685,0.00003889647725,-0.00003889647725
196,Hybrid,call,100,110,0.02,0.75,1,80000,0,2002,1,60.0935933,59.80171368,26.61220685,0.00003889647725,-0.00003889647725
197,Hybrid,call,100,110,0.02,0.75,1,80000,0,4004,1,9.968295471,9.671398842,26.61220685,0.00003889647725,-0.00003889647725
198,Hybrid,call,100,110,0.02,0.75,1,80000,0,6006,1,5.697975437,5.385341094,26.61220685,0.00003889647725,-0.00003889647725
199,Hybrid,call,100,110,0.02,0.75,1,80000,0,8008,1,4.703881157,4.389234197,26.61220685,0.00003889647725,-0.00003889647725
200,Hybrid,call,100,110,0.02,0.75,1,100000,0,1001,1,157.9626804,157.6624305,26.61224575,0.000000002178389025,0.000000002178389025
201,Hybrid,call,100,110,0.02,0.75,1,100000,0,2002,1,93.72895169,93.44015961,26.61224575,0.000000002178389025,0.000000002178389025
202,Hybrid,call,100,110,0.02,0.75,1,100000,0,4004,1,14.47576555,14.17386777,26.61224575,0.000000002178392577,0.000000002178392577
203,Hybrid,call,100,110,0.02,0.75,1,100000,0,6006,1,8.563685719,8.25177133,26.61224575,0.000000002178381919,0.000000002178381919
204,Hybrid,call,100,110,0.02,0.75,1,100000,0,8008,1,6.454121505,6.141877601,26.61224575,0.000000002178367708,0.000000002178367708
