Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
OMP,call,100,110,0.02,0.75,1,250000,1000,125,1,3.28391175,3.283891498,14.18886198,0.3288619812,0.3288619812
OMP,call,100,110,0.02,0.75,1,500000,200,1,1,28.81643445,28.81639991,13.62289429,0.2371057084,-0.2371057084
OMP,call,100,110,0.02,0.75,1,500000,200,5,1,5.904524131,5.9044838,13.7177458,0.1422542008,-0.1422542008
OMP,call,100,110,0.02,0.75,1,500000,200,10,1,3.030607961,3.030593645,13.86604549,0.006045494779,0.006045494779
OMP,call,100,110,0.02,0.75,1,500000,200,25,1,1.447691393,1.447671049,13.65963865,0.2003613483,-0.2003613483
OMP,call,100,110,0.02,0.75,1,500000,200,32,1,1.224128584,1.224106492,13.43586131,0.424138694,-0.424138694
OMP,call,100,110,0.02,0.75,1,500000,200,50,1,1.262767651,1.262747979,13.577722,0.2822779956,-0.2822779956
OMP,call,100,110,0.02,0.75,1,500000,200,64,1,1.262737874,1.262708963,14.17407406,0.3140740565,0.3140740565
OMP,call,100,110,0.02,0.75,1,500000,200,100,1,1.282242542,1.282227575,13.90730526,0.04730525683,0.04730525683
OMP,call,100,110,0.02,0.75,1,500000,200,125,1,1.277139167,1.277119384,14.24020611,0.3802061089,0.3802061089
OMP,call,100,110,0.02,0.75,1,500000,1000,1,1,146.8772515,146.8772296,13.68033691,0.1796630912,-0.1796630912
OMP,call,100,110,0.02,0.75,1,500000,1000,5,1,30.26607213,30.26605002,13.61247942,0.2475205773,-0.2475205773
OMP,call,100,110,0.02,0.75,1,500000,1000,10,1,15.2969462,15.29691406,13.76908885,0.09091115382,-0.09091115382
OMP,call,100,110,0.02,0.75,1,500000,1000,25,1,8.051509756,8.051481552,13.82803008,0.03196992156,-0.03196992156
OMP,call,100,110,0.02,0.75,1,500000,1000,32,1,6.66306377,6.663042634,13.14858352,0.7114164806,-0.7114164806
OMP,call,100,110,0.02,0.75,1,500000,1000,50,1,6.848446731,6.848428655,13.73089851,0.129101485,-0.129101485
OMP,call,100,110,0.02,0.75,1,500000,1000,64,1,7.206731042,7.206715784,13.35350347,0.5064965297,-0.5064965297
OMP,call,100,110,0.02,0.75,1,500000,1000,100,1,7.262710864,7.262677302,13.03709254,0.8229074612,-0.8229074612
