Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
MPI,call,100,110,0.02,0.75,1,75000,1000,25,0.850693378,0.623852265,27.09660295,0.4838091052
MPI,call,100,110,0.02,0.75,1,75000,1000,32,0.733344426,0.470471487,27.16420915,0.5514153093
MPI,call,100,110,0.02,0.75,1,75000,1000,50,0.945825665,0.532644044,26.94907231,0.3362784694
MPI,call,100,110,0.02,0.75,1,75000,1000,64,1.221992303,0.671842232,27.00401691,0.3912230744
MPI,call,100,110,0.02,0.75,1,100000,200,1,2.721793568,2.59814694,26.44032656,-0.1724672792
MPI,call,100,110,0.02,0.75,1,100000,200,5,0.713049038,0.565622747,26.88349056,0.2706967165
MPI,call,100,110,0.02,0.75,1,100000,200,10,0.487422359,0.329005099,26.55492927,-0.05786456905
MPI,call,100,110,0.02,0.75,1,100000,200,25,0.406852247,0.177261924,26.3949163,-0.2178775374
MPI,call,100,110,0.02,0.75,1,100000,200,32,0.403702598,0.133613644,26.29903187,-0.3137619722
MPI,call,100,110,0.02,0.75,1,100000,200,50,0.586563979,0.157817221,26.37070148,-0.2420923576
MPI,call,100,110,0.02,0.75,1,100000,200,64,0.693953787,0.178015605,26.38050125,-0.2322925908
MPI,call,100,110,0.02,0.75,1,100000,200,100,1.073313114,0.248380467,26.18783554,-0.4249583037
MPI,call,100,110,0.02,0.75,1,100000,200,125,1.454742662,0.235953942,26.27395476,-0.3388390827
MPI,call,100,110,0.02,0.75,1,100000,1000,1,13.03045688,12.90915599,26.41738062,-0.1954132242
MPI,call,100,110,0.02,0.75,1,100000,1000,5,2.681776614,2.544137658,26.7519467,0.1391528626
MPI,call,100,110,0.02,0.75,1,100000,1000,10,1.493539338,1.336758762,26.87457699,0.2617831538
MPI,call,100,110,0.02,0.75,1,100000,1000,25,0.915813166,0.710509019,26.95623971,0.3434458651
MPI,call,100,110,0.02,0.75,1,100000,1000,32,0.892500232,0.636403471,26.83674492,0.2239510836
MPI,call,100,110,0.02,0.75,1,100000,1000,50,1.264851999,0.833443013,26.48641835,-0.1263754946
MPI,call,100,110,0.02,0.75,1,100000,1000,64,1.413825858,0.863535955,26.40244378,-0.2103500565
MPI,call,100,110,0.02,0.75,1,100000,1000,100,2.001769182,1.088831292,26.74540633,0.1326124896
MPI,call,100,110,0.02,0.75,1,100000,1000,125,2.280324847,1.139324897,26.53161248,-0.08118136147
Hybrid,call,100,110,0.02,0.75,1,1000,200,1001,0.135990326,0.021138772,25.52095443,-1.091839406
Hybrid,call,100,110,0.02,0.75,1,1000,200,10010,0.173062217,0.017401944,25.37753683,-1.235257007
Hybrid,call,100,110,0.02,0.75,1,1000,200,25025,0.251743871,0.043037022,25.28885909,-1.323934752
Hybrid,call,100,110,0.02,0.75,1,1000,200,50050,0.968351886,0.506562266,26.56033722,-0.05245661716
Hybrid,call,100,110,0.02,0.75,1,1000,1000,1001,0.224422419,0.10387021,24.37053105,-2.24226279
Hybrid,call,100,110,0.02,0.75,1,1000,1000,10010,0.247381407,0.084371182,23.37508989,-3.237703949
Hybrid,call,100,110,0.02,0.75,1,1000,1000,25025,0.392366578,0.178803749,24.61352719,-1.999266648
Hybrid,call,100,110,0.02,0.75,1,1000,1000,50050,2.341125988,1.949524818,25.82522313,-0.7875707107
Hybrid,call,100,110,0.02,0.75,1,10000,200,1001,0.34750809,0.226679417,26.71737396,0.1045801171
Hybrid,call,100,110,0.02,0.75,1,10000,200,10010,0.201882104,0.04786643,26.63007728,0.01728343636
Hybrid,call,100,110,0.02,0.75,1,10000,200,25025,0.265461192,0.051635631,26.18172233,-0.431071507
Hybrid,call,100,110,0.02,0.75,1,10000,200,50050,0.963119494,0.565471836,25.92844941,-0.6843444276
Hybrid,call,100,110,0.02,0.75,1,10000,1000,1001,1.343220429,1.220488329,26.40248347,-0.2103103685
Hybrid,call,100,110,0.02,0.75,1,10000,1000,10010,0.341492857,0.182409951,26.30562454,-0.3071693
Hybrid,call,100,110,0.02,0.75,1,10000,1000,25025,0.440294519,0.247214292,26.48279622,-0.1299976233
Hybrid,call,100,110,0.02,0.75,1,10000,1000,50050,2.637856472,2.230031731,24.70156933,-1.911224512
Hybrid,call,100,110,0.02,0.75,1,25000,200,1001,0.719589512,0.602161683,26.57200011,-0.0407937344
Hybrid,call,100,110,0.02,0.75,1,25000,200,10010,0.262109251,0.110194297,26.63805894,0.02526509781
Hybrid,call,100,110,0.02,0.75,1,25000,200,25025,0.280129403,0.075584763,25.68943128,-0.9233625608
Hybrid,call,100,110,0.02,0.75,1,25000,200,50050,0.957116329,0.556411927,25.91176191,-0.7010319343
Hybrid,call,100,110,0.02,0.75,1,25000,1000,1001,3.019701639,2.899200614,26.36961106,-0.2431827793
Hybrid,call,100,110,0.02,0.75,1,25000,1000,10010,0.558116567,0.401654305,25.32599296,-1.286800876
Hybrid,call,100,110,0.02,0.75,1,25000,1000,25025,0.588021978,0.369064219,27.01628379,0.4034899459
Hybrid,call,100,110,0.02,0.75,1,25000,1000,50050,2.787589177,2.407823112,25.79834686,-0.814446983
Hybrid,call,100,110,0.02,0.75,1,50000,200,1001,1.333004395,1.210717943,26.19025027,-0.4225435704
Hybrid,call,100,110,0.02,0.75,1,50000,200,10010,0.338019225,0.170211843,26.93342099,0.3206271501
Hybrid,call,100,110,0.02,0.75,1,50000,200,25025,0.347388703,0.115219712,26.2173208,-0.3954730408
Hybrid,call,100,110,0.02,0.75,1,50000,200,50050,1.002862854,0.522139769,26.27238175,-0.34041209
Hybrid,call,100,110,0.02,0.75,1,50000,1000,1001,6.844559174,6.721914041,26.2791059,-0.3336879441
Hybrid,call,100,110,0.02,0.75,1,50000,1000,10010,0.887936834,0.727791688,26.6927416,0.07994776383
Hybrid,call,100,110,0.02,0.75,1,50000,1000,25025,0.801983831,0.571351031,25.49734475,-1.115449089
Hybrid,call,100,110,0.02,0.75,1,50000,1000,50050,2.770044824,2.336092316,26.52210635,-0.09068748654
Hybrid,call,100,110,0.02,0.75,1,75000,200,1001,1.939763668,1.819922585,26.3981676,-0.2146262398
Hybrid,call,100,110,0.02,0.75,1,75000,200,10010,0.375643615,0.217471608,26.51070682,-0.1020870241
Hybrid,call,100,110,0.02,0.75,1,75000,200,25025,0.36089242,0.156352643,26.77137412,0.158580283
Hybrid,call,100,110,0.02,0.75,1,75000,200,50050,1.085834611,0.701010705,26.96528298,0.3524891433
Hybrid,call,100,110,0.02,0.75,1,75000,1000,1001,9.224530877,9.102920241,26.33557919,-0.2772146463
Hybrid,call,100,110,0.02,0.75,1,75000,1000,10010,1.218909268,1.049595194,26.62792385,0.01513001019
Hybrid,call,100,110,0.02,0.75,1,75000,1000,25025,0.987089823,0.763501572,26.89562322,0.282829384
Hybrid,call,100,110,0.02,0.75,1,75000,1000,50050,2.989679422,2.591279624,25.83424341,-0.7785504333
Hybrid,call,100,110,0.02,0.75,1,100000,200,1001,2.519666883,2.399527796,26.44646173,-0.1663321118
