Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
MPI,call,100,110,0.02,0.75,1,10000,1000,100,1.095828294,0.198290009,26.96062689,0.3478330465
MPI,call,100,110,0.02,0.75,1,25000,200,1,0.850204531,0.727563603,26.71556567,0.1027718257
MPI,call,100,110,0.02,0.75,1,25000,200,5,0.282296912,0.139568593,26.94958958,0.3367957369
MPI,call,100,110,0.02,0.75,1,25000,200,10,0.243233978,0.084627899,26.63676769,0.0239738458
MPI,call,100,110,0.02,0.75,1,25000,200,25,0.254843466,0.035611583,26.65997921,0.04718537105
MPI,call,100,110,0.02,0.75,1,25000,200,50,0.493501458,0.03219018,26.61393451,0.001140672154
MPI,call,100,110,0.02,0.75,1,25000,200,100,1.013229679,0.09356849,26.15161105,-0.4611827863
MPI,call,100,110,0.02,0.75,1,25000,1000,1,3.217874486,3.098476558,26.48492346,-0.1278703778
MPI,call,100,110,0.02,0.75,1,25000,1000,100,1.202103421,0.360743615,26.80192725,0.1891334138
MPI,call,100,110,0.02,0.75,1,50000,200,1,1.46499168,1.341838133,26.3534421,-0.259351742
MPI,call,100,110,0.02,0.75,1,50000,200,5,0.399890786,0.26576208,26.80174997,0.1889561287
MPI,call,100,110,0.02,0.75,1,50000,200,10,0.304784206,0.142886688,26.39800268,-0.2147911631
MPI,call,100,110,0.02,0.75,1,50000,200,25,0.297551388,0.070113997,26.2997199,-0.3130739365
MPI,call,100,110,0.02,0.75,1,50000,200,50,0.512922713,0.075268082,26.91705434,0.3042605014
MPI,call,100,110,0.02,0.75,1,50000,200,100,0.986382928,0.139211899,26.76036419,0.147570348
MPI,call,100,110,0.02,0.75,1,50000,1000,1,6.513656469,6.392776371,26.57324884,-0.03954499826
MPI,call,100,110,0.02,0.75,1,50000,1000,25,0.59581855,0.367544197,26.67534569,0.06255185059
MPI,call,100,110,0.02,0.75,1,50000,1000,50,0.852441613,0.422091345,26.47393323,-0.1388606123
MPI,call,100,110,0.02,0.75,1,50000,1000,100,1.504905804,0.56031452,26.9127916,0.2999977568
MPI,call,100,110,0.02,0.75,1,75000,200,1,1.993365871,1.868686217,26.48157631,-0.1312175271
MPI,call,100,110,0.02,0.75,1,75000,200,5,0.545676184,0.403259583,26.53693826,-0.07585557904
MPI,call,100,110,0.02,0.75,1,75000,200,10,0.380990059,0.218738993,26.61757235,0.004778512955
MPI,call,100,110,0.02,0.75,1,75000,200,25,0.330467276,0.118958374,26.41718282,-0.1956110153
MPI,call,100,110,0.02,0.75,1,75000,200,50,0.529309983,0.127583824,26.40639216,-0.2064016804
MPI,call,100,110,0.02,0.75,1,75000,200,100,1.064869987,0.199151343,26.77964041,0.1668465656
