Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
OMP,put,100,110,0.02,0.75,1,8192,100,1,0.154812889,0.154802386,22.24015994,-0.4198400558
OMP,put,100,110,0.02,0.75,1,8192,100,2,0.081158616,0.081144419,22.42630573,-0.2336942653
OMP,put,100,110,0.02,0.75,1,8192,100,4,0.061285912,0.061273563,22.67660504,0.01660504048
OMP,put,100,110,0.02,0.75,1,8192,100,8,0.036654726,0.036646015,22.25188656,-0.4081134421
OMP,put,100,110,0.02,0.75,1,8192,100,16,0.026861959,0.026854773,22.2178193,-0.4421806994
OMP,put,100,110,0.02,0.75,1,8192,100,32,0.030247969,0.030239488,22.22209103,-0.4379089676
OMP,put,100,110,0.02,0.75,1,8192,100,64,0.030977089,0.030968752,22.22127894,-0.4387210617
OMP,put,100,110,0.02,0.75,1,8192,250,1,0.374467835,0.374463083,22.11988292,-0.5401170847
OMP,put,100,110,0.02,0.75,1,8192,250,2,0.207326326,0.207295679,22.24430587,-0.4156941259
OMP,put,100,110,0.02,0.75,1,8192,250,4,0.107625157,0.107614047,22.39316214,-0.2668378621
OMP,put,100,110,0.02,0.75,1,8192,250,8,0.064396625,0.064385509,22.99153102,0.3315310155
OMP,put,100,110,0.02,0.75,1,8192,250,16,0.070960879,0.07095083,23.03248641,0.3724864149
OMP,put,100,110,0.02,0.75,1,8192,250,32,0.071026364,0.071018227,23.03107729,0.3710772949
OMP,put,100,110,0.02,0.75,1,8192,250,64,0.061233572,0.061220831,23.03182687,0.3718268747
OMP,put,100,110,0.02,0.75,1,8192,500,1,0.788193731,0.788185396,22.74813222,0.08813221931
OMP,put,100,110,0.02,0.75,1,8192,500,2,0.401293172,0.401280787,22.63355942,-0.02644058228
OMP,put,100,110,0.02,0.75,1,8192,500,4,0.20416515,0.204152935,22.29385491,-0.3661450859
OMP,put,100,110,0.02,0.75,1,8192,500,8,0.133246689,0.133236941,22.27753512,-0.3824648816
OMP,put,100,110,0.02,0.75,1,8192,500,16,0.137572823,0.137566943,22.3163996,-0.3436003975
OMP,put,100,110,0.02,0.75,1,8192,500,32,0.122050869,0.122038368,22.31634098,-0.3436590187
OMP,put,100,110,0.02,0.75,1,8192,500,64,0.108056044,0.108044582,22.31668572,-0.3433142829
OMP,put,100,110,0.02,0.75,1,8192,750,1,1.124316627,1.12430589,22.49625405,-0.1637459536
OMP,put,100,110,0.02,0.75,1,8192,750,2,0.587411326,0.587400129,22.35063243,-0.3093675717
OMP,put,100,110,0.02,0.75,1,8192,750,4,0.303206458,0.303198153,22.63965657,-0.02034343425
